,corr_pair,corr_metrics,CodeBertsim,CodeBertfake_pair,CodeBertfake_sim,ISUB StringMatchersim,ISUB StringMatcherfake_pair,ISUB StringMatcherfake_sim,Levenshtein Similaritysim,Levenshtein Similarityfake_pair,Levenshtein Similarityfake_sim,JaroWinklersim,JaroWinklerfake_pair,JaroWinklerfake_sim
43,"('AND81', 'AND80')",4,tensor(0.9991),,,0.826236559139785,,,0.8,,,0.92,,
44,"('AND81_tree', 'AND80_tree')",4,tensor(0.9996),,,0.9252071005917161,,,0.9,,,0.96,,
45,"('AND82', 'AND83')",4,tensor(0.9998),,,0.826236559139785,,,0.8,,,0.92,,
46,"('AND82_tree', 'AND83_tree')",4,tensor(0.9997),,,0.9252071005917161,,,0.9,,,0.96,,
47,"('AND84', 'AND83')",4,tensor(0.9997),,,0.826236559139785,,,0.8,,,0.92,,
48,"('AND84_tree', 'AND83_tree')",4,tensor(0.9994),,,0.9252071005917161,,,0.9,,,0.96,,
49,"('AND85', 'AND86')",4,tensor(0.9994),,,0.826236559139785,,,0.8,,,0.92,,
50,"('AND85_tree', 'AND86_tree')",4,tensor(0.9999),,,0.9252071005917161,,,0.9,,,0.96,,
51,"('AREA_HIGH', 'VERTICAL_WIDTH_HIGH')",4,tensor(0.9984),,,0.17952928297755882,,,0.368421052631579,,,0.6201615148983569,,
52,"('AREA_LOW', 'VERTICAL_HEIGHT_LOW')",2,tensor(0.9982),"('LA170_3', 'VERTICAL_HEIGHT_LOW')",tensor(0.9986),0.2554909560723514,,,0.3157894736842105,,,0.49605263157894736,"('_operator_equals_1', 'VERTICAL_HEIGHT_LOW')",0.5384990253411306
53,"('ARG60', 'ARG61')",4,tensor(0.9994),,,0.826236559139785,,,0.8,,,0.92,,
54,"('ARG60_tree', 'ARG61_tree')",4,tensor(0.9997),,,0.9252071005917161,,,0.9,,,0.96,,
55,"('ARG61', 'ARG62')",4,tensor(0.9998),,,0.826236559139785,,,0.8,,,0.92,,
56,"('ARG61_tree', 'ARG62_tree')",4,tensor(0.9999),,,0.9252071005917161,,,0.9,,,0.96,,
57,"('ARG62', 'ARG64')",4,tensor(0.9995),,,0.826236559139785,,,0.8,,,0.92,,
58,"('ARG62_tree', 'ARG64_tree')",4,tensor(0.9997),,,0.9252071005917161,,,0.9,,,0.96,,
59,"('ARG64', 'ARG65')",4,tensor(0.9992),,,0.826236559139785,,,0.8,,,0.92,,
60,"('ARG64_tree', 'ARG65_tree')",4,tensor(0.9994),,,0.9252071005917161,,,0.9,,,0.96,,
61,"('ARG65', 'ARG66')",4,tensor(0.9995),,,0.826236559139785,,,0.8,,,0.92,,
62,"('ARG65_tree', 'ARG66_tree')",4,tensor(0.9998),,,0.9252071005917161,,,0.9,,,0.96,,
63,"('ARG66', 'ARG69')",4,tensor(0.9995),,,0.826236559139785,,,0.8,,,0.92,,
64,"('ARG66_tree', 'ARG69_tree')",4,tensor(0.9999),,,0.9252071005917161,,,0.9,,,0.96,,
65,"('ARG68', 'ARG69')",4,tensor(0.9998),,,0.826236559139785,,,0.8,,,0.92,,
66,"('ARG68_tree', 'ARG69_tree')",4,tensor(0.9999),,,0.9252071005917161,,,0.9,,,0.96,,
67,"('ARG69', 'ARG70')",4,tensor(0.9996),,,0.5330841121495327,,,0.6,,,0.8133333333333334,,
68,"('ARG69_tree', 'ARG70_tree')",4,tensor(0.9998),,,0.8062365591397851,,,0.8,,,0.9066666666666667,,
69,"('ARG70', 'ARG72')",4,tensor(0.9994),,,0.826236559139785,,,0.8,,,0.92,,
70,"('ARG70_tree', 'ARG72_tree')",4,tensor(0.9999),,,0.9252071005917161,,,0.9,,,0.96,,
71,"('ARG71', 'ARG73')",4,tensor(0.9998),,,0.826236559139785,,,0.8,,,0.92,,
72,"('ARG71_tree', 'ARG73_tree')",4,tensor(0.9997),,,0.9252071005917161,,,0.9,,,0.96,,
73,"('ARG72', 'ARG71')",4,tensor(0.9996),,,0.826236559139785,,,0.8,,,0.92,,
74,"('ARG72', 'ARG73')",4,tensor(0.9997),,,0.826236559139785,,,0.8,,,0.92,,
75,"('ARG72_tree', 'ARG71_tree')",4,tensor(0.9997),,,0.9252071005917161,,,0.9,,,0.96,,
76,"('ARG72_tree', 'ARG73_tree')",4,tensor(0.9999),,,0.9252071005917161,,,0.9,,,0.96,,
77,"('ARG73', 'ARG74')",4,tensor(0.9996),,,0.826236559139785,,,0.8,,,0.92,,
78,"('ARG73', 'ARG83')",4,tensor(0.9998),,,0.8062365591397851,,,0.8,,,0.9066666666666667,,
79,"('ARG73_tree', 'ARG74_tree')",4,tensor(0.9996),,,0.9252071005917161,,,0.9,,,0.96,,
80,"('ARG73_tree', 'ARG83_tree')",4,tensor(0.9999),,,0.9152071005917161,,,0.9,,,0.9533333333333333,,
81,"('ARG74', 'ARG77')",4,tensor(0.9995),,,0.826236559139785,,,0.8,,,0.92,,
82,"('ARG74_tree', 'ARG77_tree')",3,tensor(0.9992),"('_iter31', 'ARG77_tree')",tensor(0.9993),0.9252071005917161,,,0.9,,,0.96,,
83,"('ARG77', 'ARG78')",4,tensor(0.9997),,,0.826236559139785,,,0.8,,,0.92,,
84,"('ARG77_tree', 'ARG78_tree')",4,tensor(0.9997),,,0.9252071005917161,,,0.9,,,0.96,,
85,"('ARG78', 'ARG80')",4,tensor(0.9995),,,0.8062365591397851,,,0.6,,,0.9066666666666667,,
86,"('ARG78_tree', 'ARG80_tree')",4,tensor(0.9998),,,0.9152071005917161,,,0.8,,,0.9533333333333333,,
87,"('ARG79', 'ARG81')",4,tensor(0.9998),,,0.5330841121495327,,,0.6,,,0.8133333333333334,,
88,"('ARG79_tree', 'ARG81_tree')",3,tensor(0.9997),"('NEAR68_tree', 'ARG81_tree')",tensor(0.9997),0.8062365591397851,,,0.8,,,0.9066666666666667,,
89,"('ARG80', 'ARG79')",4,tensor(0.9995),,,0.5330841121495327,,,0.6,,,0.8133333333333334,,
90,"('ARG80_tree', 'ARG79_tree')",4,tensor(0.9998),,,0.8062365591397851,,,0.8,,,0.9066666666666667,,
91,"('ARG81', 'ARG91')",4,tensor(0.9995),,,0.8062365591397851,,,0.8,,,0.9066666666666667,,
92,"('ARG81_tree', 'ARG91_tree')",4,tensor(0.9993),,,0.9152071005917161,,,0.9,,,0.9533333333333333,,
93,"('ARG83', 'ARG75')",1,tensor(0.9997),,,0.5330841121495327,"('args', 'ARG75')",0.6447154471544715,0.6,"('args', 'ARG75')",0.6,0.8133333333333334,"('args', 'ARG75')",0.8483333333333334
94,"('ARG83_tree', 'ARG75_tree')",4,tensor(0.9997),,,0.8062365591397851,,,0.8,,,0.9066666666666667,,
95,"('ARG91', 'ARG83')",4,tensor(0.9996),,,0.5330841121495327,,,0.6,,,0.8133333333333334,,
96,"('ARG91_tree', 'ARG83_tree')",1,tensor(0.9996),,,0.8062365591397851,"('ARGS63_tree', 'ARG83_tree')",0.8742268041237113,0.8,"('ARGS63_tree', 'ARG83_tree')",0.8181818181818181,0.9066666666666667,"('ARGS63_tree', 'ARG83_tree')",0.9316804407713499
97,"('ARGS59', 'ARGS60')",4,tensor(0.9993),,,0.6648648648648647,,,0.6666666666666667,,,0.8666666666666666,,
98,"('ARGS59_tree', 'ARGS60_tree')",4,tensor(0.9999),,,0.8457623640467885,,,0.8181818181818181,,,0.9228650137741048,,
99,"('ARGS60', 'ARGS61')",3,tensor(0.9993),"('ARGS69_tree', 'ARGS61')",tensor(0.9995),0.8615384615384616,,,0.8333333333333334,,,0.9444444444444444,,
100,"('ARGS60_tree', 'ARGS61_tree')",4,tensor(0.9997),,,0.9331088664421997,,,0.9090909090909091,,,0.9669421487603306,,
101,"('ARGS61', 'ARGS63')",4,tensor(0.9991),,,0.8615384615384616,,,0.8333333333333334,,,0.9444444444444444,,
102,"('ARGS61_tree', 'ARGS63_tree')",4,tensor(0.9998),,,0.9331088664421997,,,0.9090909090909091,,,0.9669421487603306,,
103,"('ARGS63', 'ARGS64')",4,tensor(0.9991),,,0.8615384615384616,,,0.8333333333333334,,,0.9444444444444444,,
104,"('ARGS63_tree', 'ARGS64_tree')",3,tensor(0.9995),"('COND55_tree', 'ARGS64_tree')",tensor(0.9996),0.9331088664421997,,,0.9090909090909091,,,0.9669421487603306,,
105,"('ARGS64', 'ARGS65')",4,tensor(0.9993),,,0.8615384615384616,,,0.8333333333333334,,,0.9444444444444444,,
106,"('ARGS64_tree', 'ARGS65_tree')",3,tensor(0.9989),"('ARGS64_tree', 'RANGE62_tree')",tensor(0.9996),0.9331088664421997,,,0.9090909090909091,,,0.9669421487603306,,
107,"('ARGS65', 'ARGS68')",4,tensor(0.9996),,,0.8615384615384616,,,0.8333333333333334,,,0.9444444444444444,,
108,"('ARGS65_tree', 'ARGS68_tree')",4,tensor(0.9997),,,0.9331088664421997,,,0.9090909090909091,,,0.9669421487603306,,
