,corr_pair,corr_metrics,ISUB StringMatchersim,ISUB StringMatcherfake_pair,ISUB StringMatcherfake_sim,Levenshtein Similaritysim,Levenshtein Similarityfake_pair,Levenshtein Similarityfake_sim,JaroWinklersim,JaroWinklerfake_pair,JaroWinklerfake_sim
76,"('ARG72_tree', 'ARG73_tree')",3,0.9252071005917161,,,0.8875000000000001,,,0.96,,
77,"('ARG73', 'ARG74')",3,0.826236559139785,,,0.7890410958904109,,,0.92,,
78,"('ARG73', 'ARG83')",0,0.8062365591397851,"('ARG73', 'ARG71')",0.826236559139785,0.6904109589041096,"('ARG73', 'ARG71')",0.7774647887323944,0.9066666666666667,"('ARG73', 'ARG71')",0.92
79,"('ARG73_tree', 'ARG74_tree')",3,0.9252071005917161,,,0.8876712328767123,,,0.96,,
80,"('ARG73_tree', 'ARG83_tree')",3,0.9152071005917161,,,0.7767123287671233,,,0.9533333333333333,,
81,"('ARG74', 'ARG77')",3,0.826236559139785,,,0.7675675675675676,,,0.92,,
82,"('ARG74_tree', 'ARG77_tree')",0,0.9252071005917161,"('ARG74_tree', 'ARG73_tree')",0.9252071005917161,0.8635135135135135,"('ARG74_tree', 'ARG73_tree')",0.8876712328767123,0.96,"('ARG74_tree', 'ARG73_tree')",0.96
83,"('ARG77', 'ARG78')",3,0.826236559139785,,,0.7896103896103897,,,0.92,,
84,"('ARG77_tree', 'ARG78_tree')",3,0.9252071005917161,,,0.8883116883116883,,,0.96,,
85,"('ARG78', 'ARG80')",3,0.8062365591397851,,,0.5846153846153845,,,0.9066666666666667,,
86,"('ARG78_tree', 'ARG80_tree')",3,0.9152071005917161,,,0.7794871794871795,,,0.9533333333333333,,
87,"('ARG79', 'ARG81')",3,0.5330841121495327,,,0.5848101265822785,,,0.8133333333333334,,
88,"('ARG79_tree', 'ARG81_tree')",0,0.8062365591397851,"('ARGS80_tree', 'ARG81_tree')",0.8742268041237113,0.779746835443038,"('ARGS80_tree', 'ARG81_tree')",0.8079545454545455,0.9066666666666667,"('ARGS80_tree', 'ARG81_tree')",0.9316804407713499
