<simplejavacalculator.UI: void <init>()>/fresh-null-assign/16	90	30	<simplejavacalculator.UI: void <init>()>/$numconstant4	<simplejavacalculator.UI: void <init>()>	1
<simplejavacalculator.UI: void <init>()>/fresh-null-assign/18	95	1	<simplejavacalculator.UI: void <init>()>/$numconstant5	<simplejavacalculator.UI: void <init>()>	1
<simplejavacalculator.UI: void init()>/fresh-null-assign/10	150	15	<simplejavacalculator.UI: void init()>/$numconstant9	<simplejavacalculator.UI: void init()>	1
<simplejavacalculator.UI: void init()>/fresh-null-assign/8	216	15	<simplejavacalculator.UI: void init()>/$numconstant7	<simplejavacalculator.UI: void init()>	1
<simplejavacalculator.UI: void <init>()>/fresh-null-assign/19	96	24	<simplejavacalculator.UI: void <init>()>/$numconstant6	<simplejavacalculator.UI: void <init>()>	1
<simplejavacalculator.UI: void <init>()>/assign/28	100	0	<simplejavacalculator.UI: void <init>()>/i#_89	<simplejavacalculator.UI: void <init>()>	1
<simplejavacalculator.UI: void <init>()>/fresh-null-assign/19	100	24	<simplejavacalculator.UI: void <init>()>/$numconstant6	<simplejavacalculator.UI: void <init>()>	10
<simplejavacalculator.UI: void <init>()>/fresh-null-assign/15	93	1	<simplejavacalculator.UI: void <init>()>/$numconstant3	<simplejavacalculator.UI: void <init>()>	10
<simplejavacalculator.UI: void <init>()>/fresh-null-assign/18	99	1	<simplejavacalculator.UI: void <init>()>/$numconstant5	<simplejavacalculator.UI: void <init>()>	10
<simplejavacalculator.UI: void <init>()>/fresh-null-assign/14	89	18	<simplejavacalculator.UI: void <init>()>/$numconstant2	<simplejavacalculator.UI: void <init>()>	10
<simplejavacalculator.UI: void <init>()>/assign/28	104	0	<simplejavacalculator.UI: void <init>()>/i#_89	<simplejavacalculator.UI: void <init>()>	10
<simplejavacalculator.UI: void init()>/fresh-null-assign/8	112	15	<simplejavacalculator.UI: void init()>/$numconstant7	<simplejavacalculator.UI: void init()>	10
<simplejavacalculator.UI: void <init>()>/fresh-null-assign/11	43	1	<simplejavacalculator.UI: void <init>()>/$numconstant0	<simplejavacalculator.UI: void <init>()>	10
<simplejavacalculator.UI: void init()>/fresh-null-assign/10	162	15	<simplejavacalculator.UI: void init()>/$numconstant9	<simplejavacalculator.UI: void init()>	10
<simplejavacalculator.UI: void <init>()>/fresh-null-assign/13	88	0	<simplejavacalculator.UI: void <init>()>/$numconstant1	<simplejavacalculator.UI: void <init>()>	10
<simplejavacalculator.UI: void <init>()>/fresh-null-assign/16	94	30	<simplejavacalculator.UI: void <init>()>/$numconstant4	<simplejavacalculator.UI: void <init>()>	10
