	OldName	NewName	Dice	Qgram	count
1789	AssessmentItemController	AssessmentItemAttemptController	True	False	1
1815	AssignIndexValueFunctionTest	PathFunction	True	False	1
1817	Assignment	MatrixAssignment	True	False	1
1825	AssignmentOperationStatement	AssignmentExpression	True	False	1
1848	AsyncFunc	AsyncResult	True	False	1
1865	AsyncServerSocketChannelTest1	LimitedServerTest1	False	True	1
1866	AsyncServerSocketChannelTest2	LimitedServerTest2	False	True	1
1896	AttachmentParser	InputStreamParser	False	True	1
1908	AttributeCollection	XdiCollection	False	True	1
1915	AttributeImportanceFinder2	AttributeImportanceFinder	False	True	1
1956	AuditLogItem	DynamoDBAuditLogItem	True	False	1
1962	AuthService	AccountService	False	True	1
1963	AuthServiceImpl	AccountServiceImpl	False	True	1
1979	AuthenticationServiceImpl	AuthServiceImpl	True	False	1
1994	AuthorTransliterationsCollectorFilter	AuthorCollectorFilter	True	False	1
1995	AuthorVariationFilter	AuthorQueryVariationsFilter	True	False	1
1998	AuthorizationCode	AuthorizationChecker	True	False	1
2007	AuthorizedConnectAppReader	CountryReader	True	False	1
2017	AutoIndexing	Neo4JIndexManager	False	True	1
2229	BackgroundStats	BackgroundOpsManager	True	False	1
2245	BagUtils	Bags	True	False	1
2246	BagUtilsTest	BagsTest	True	False	1
2296	BaseCustomizableInstanceData	BaseInstanceCustomizableMetadata	True	False	1
2297	BaseCustomizableInstanceMetadata	BaseInstanceCustomizableData	True	False	1
2313	BaseExecution	AbstractExecution	False	True	1
2319	BaseGrouperTest	BaseTest	True	False	1
2322	BaseInfo	MemberInfo	False	True	1
2418	BasicAuthClient	DirectBasicAuthClient	True	False	1
2422	BasicAuthExtractor	HeaderExtractor	True	False	1
2438	BasicEnderElement	Element	True	False	1
2444	BasicGraphServer	BasicEndpointServerSample	True	False	1
2477	BasicQuery	DefaultQuery	False	True	1
2503	BasicTest	Test1CrashedTest	True	False	1
2517	BatchPopulatingTaskResult	Result	True	False	1
2553	BeanImpl	ImmutableNarrowingBean	True	False	1
2557	BeanMembersShouldSerializeRuleTest	JavabeansRulesTest	True	False	1
2588	BeforeGraphClearEvent	GraphListeners	True	False	1
2593	BehaviorAdapter	Adapter	True	False	1
2631	BiblesTest	BooksTest	False	True	1
2656	BidiComplexProcessor	STextProcessor	True	False	1
2666	BidiComplexTest	STextTest	True	False	1
2686	BillHistoryDao	BillUpdatesDao	False	True	1
2688	BillProcessor	BillSobiProcessor	True	False	1
2696	BillTextReferenceFactory	BillScrapeReferenceFactory	False	True	1
2700	BillTextScraperTest	BillTextTest	True	False	1
2728	BinaryHeapWithIncreasePriority	BinaryHeapExtended	True	False	1
2731	BinaryOperatorExpression	Operator	True	False	1
2732	BinaryPow	BinaryExponentiation	True	False	1
2783	BitVector	SuccinctBitVector	True	False	1
2828	BlockBuilder_m1_m2_m25_m9_m10	BlockBuilder_m22	True	False	1
2850	BlockEditPart	PipelineEditPart	True	False	1
2851	BlockExtendedEditPart	PipelineExtendedEditPart	True	False	1
2852	BlockFirewallList	BlockList	True	False	1
2862	BlockIoTest	PageIoTest	False	True	1
2880	BlockRenderInfo	ModLoaderBlockRendererHandler	True	False	1
2887	Block_BlockKeyword_1	Pipeline_PipelineKeyword_0	True	False	1
2897	Block_ExecutionModeKeyword_9_0	BusinessProcedure_InputLinksKeyword_9_0	True	False	1
2900	Block_Group_10_3	BusinessProcedure_Group_9_3	True	False	1
2918	Block_NameAssignment_2	Pipeline_IterableAssignment_10	True	False	1
2968	BookMetaDataSet	BookSet	True	False	1
2978	Bool	BoolFilter	True	False	1
2979	BoolImpl	SimpleTypeImpl	True	False	1
2991	BooleanFieldType	BooleanType	True	False	1
3009	BootstrapServices	ManagerServices	False	True	1
3013	BotService	BotDaemon	False	True	1
3058	BracketedContext	FactorialContext	False	True	1
3069	BranTemplate	JapidTemplate	False	True	1
3112	BrowserHistory	NavigationHistory	False	True	1
3150	BucketMover	IndexPreservingBucketMover	True	False	1
3151	BucketMoverTest	IndexPreservingBucketMoverTest	True	False	1
3161	BuffListener	ArmorListener	False	True	1
3163	BufferFullListener	MessageBufferListener	True	False	1
3192	BuildInvertedIndexDocSorted	BuildTermDocVectors	True	False	1
3230	BuilderSingletonListsBuilder	BuilderSingularListsBuilder	False	True	1
3259	BuiltinMathTest	MathTest	True	False	1
3270	BuiltinsKey	Key	True	False	1
3276	BuiltinsSequence	Sequence	True	False	1
3305	Bundle	LoopBundle	True	False	1
3367	ByteBufferWrapper	IoBuffer	True	False	1
3422	C8E98DC5AF7BF51D571C03B7C96324B3066A092EA	ExtendedContext	False	True	1
3470	CIDE	CIDESobreCombustiveis	True	False	1
3486	COFINSAliq	COFINSTributadoPelaAliquota	True	False	1
3580	CacheStore	CacheManager	False	True	1
3622	CalculoDVInfoTest	ValidadorDeDVTest	False	True	1
3642	CalendarProcessor	XmlSenAgenProcessor	False	True	1
3644	CalendarReportServices	SenateSiteCalendarReportService	True	False	1
3646	CalendarSection	CalendarSupplementalSection	True	False	1
3647	CalendarSectionEntry	CalendarSupplementalSectionEntry	True	False	1
3669	CallDetailRecord	CallDurationWebRequest	True	False	1
3671	CallFeedback	Feedback	True	False	1
3674	CallFeedbackSummary	FeedbackSummary	True	False	1
3686	CallOrder	CallStore	False	True	1
3701	CallbackFactory	HookFactory	True	False	1
3718	CampaignCreationClassListValidationDao	ClassListValidationDao	True	False	1
3722	CampaignCreationContentsValidationService	UserCanCreateCampaignsValidationService	False	True	1
3811	CartridgesTest	APIResourceTest	False	True	1
3822	CasObject	CasStoreObject	True	False	1
3833	CascadingTypeParameter	CascadingMetaDataBuilder	False	True	1
3842	CassandraClientPoolStore	CassandraClientPool	True	False	1
3879	CategoricalMetricComputer	CategoricalEvaluator	False	True	1
3880	CategoricalMetricComputerTest	CategoricalEvaluatorTest	False	True	1
3881	CategoriesContainerLableProvider	LabelProvider	True	False	1
3942	ChangeExpandListenerHandler	PanelToggleListenerHandler	False	True	1
3951	ChangePackRequest	ChangeScheduleRequest	True	False	1
3952	ChangePackService	ChangeSubscriptionService	True	False	1
3957	ChangePackWebRequest	ChangeScheduleWebRequest	True	False	1
3968	ChangeScheduleWebRequest	ChangeSubscriptionWebRequest	True	False	1
3975	ChangeTypeTest	ChangeSubscriptionTypeTest	True	False	1
3982	ChangingSetOperationLogic	Logic	True	False	1
3987	ChannelConfig	Channel	True	False	1
3995	ChannelExecCommandExecution	ChannelExecProcess	True	False	1
4004	ChannelServer	ChannelTransceiver	True	False	1
4009	ChapterPane	ContentPane	False	True	1
4053	CharPredicateParser	CharParser	False	True	1
4055	CharReaderTestCase	ChunkBufferTestCase	False	True	1
4064	ChargeLevel3LineItem	LineItem	True	False	1
4135	Checker	DataCacheChecker	True	False	1
4175	ChipType	ChipData	False	True	1
4219	CifsOverthereFile	CifsFile	True	False	1
4236	CircleGeometry	CircleOperations	False	True	1
4237	CircleMenu	CirclePopupMenu	True	False	1
4265	ClUp	ClSharp	True	False	1
4278	ClassCommandDescriptor	ClassDescriptor	False	True	1
4279	ClassCommandInfo	ClassCommandDescriptor	True	False	1
4282	ClassDefBuilder	ClassDecl	True	False	1
4330	ClassReferenceFinder	ConstantPoolReferenceFinder	False	True	1
4338	ClassTest	ClassSubjectTest	True	False	1
4426	ClientConnection	Http1xClientConnection	True	False	1
4458	ClientPingsClient	ClientSendsPingToAnotherClient	False	True	1
4471	ClientRunner	EditorRunner	False	True	1
4475	ClientSecureDecoder	CommonDecoder	False	True	1
4493	ClientTestCallback	TestCallback	True	False	1
4506	ClojureBracePainter	ClojureBraceHighlightingHandler	True	False	1
4526	CloseEvent	ImportEvent	False	True	1
4537	Closure	ClosureScope	True	False	1
4539	ClosureCompilerOptionsEditor	ClosureCompilerCompilationOptionsEditor	True	False	1
4540	ClosureHoverInfo	ClosureJSElementInfo	True	False	1
4561	ClusterEnvironment	CouchbaseEnvironment	False	True	1
4562	ClusterFactory	HFactory	True	False	1
4571	ClusterTreeItem	ClusterItemView	False	True	1
4572	ClusterType	Cluster	False	True	1
4592	CmdBypass	CmdAdmin	False	True	1
